date,name,isKeyMoment,photo filename,caption
2020-12-03,1 GitHub repos (latest: steuerlotse-archive),false,,
2021-03-10,5 GitHub repos (latest: steuerlotse-infra),false,,
2021-07-06,10 GitHub repos (latest: backend-challenge),false,,
2022-03-21,25 GitHub repos (latest: grundsteuer-infra),false,,
2022-05-25,50 GitHub repos (latest: agora-uptime),false,,
2023-06-02,100 GitHub repos (latest: ris-reports),false,,
2025-07-01,200 GitHub repos (latest: formularbaukasten-agentic-migration),false,,
2020-12-09,1 git commits across all repos (nfelger in steuerlotse-archive),false,,
2021-01-29,100 git commits across all repos (AnnaHupperth in public_documents),false,,
2021-05-25,500 git commits across all repos (na-st in steuerlotse-archive),false,,
2021-08-16,1000 git commits across all repos (zechmeister in agora),false,,
2022-05-04,5000 git commits across all repos (frederike-ramin in grundsteuer),false,,
2022-07-27,10000 git commits across all repos (shrzaf in grundsteuer),false,,
2023-06-13,25000 git commits across all repos (HPrinz in ris-backend-service),false,,
2024-12-05,50000 git commits across all repos (lsolcher in digitalcheck-dito),false,,
2021-03-10,1st -infra repo (steuerlotse-infra),false,,
